MainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
138,Almont St,Blue Hill Ave,Walk Hill St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.5839,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
139,Bennington St,Neptune Rd,Saratoga St,9,12:00:00.0000000,16:00:00.0000000,Even,1.0610,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
140,Belmore Ter,Boylston St,Oakview Ter,2,08:00:00.0000000,12:00:00.0000000,Even,0.0589,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
141,Austin St,Main St,Rutherford Ave,1C,12:00:00.0000000,16:00:00.0000000,Even,0.1258,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
142,Austin St,Main St,Rutherford Ave,1C,12:00:00.0000000,16:00:00.0000000,Odd,0.1258,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
143,Brooks St,Bremen St,Princeton St,9,12:00:00.0000000,16:00:00.0000000,Odd,0.2513,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
144,Bucknam St,Lawn St,Fisher Ave,10M,12:00:00.0000000,16:00:00.0000000,Even,0.0803,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
145,Chesterton St,Massachusetts Ave,Allerton St,10R,12:00:00.0000000,16:00:00.0000000,Odd,0.1087,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
146,Bowdoin St,Derne St,Beacon St,1H,00:01:00.0000000,07:00:00.0000000,Odd,0.1057,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True
147,Arcola St,Day St,Dead End,2,12:00:00.0000000,16:00:00.0000000,Even,0.0608,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
148,Cleveland St,Winthrop St,Moreland St,10R,08:00:00.0000000,12:00:00.0000000,Even,0.0676,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
149,Chaucer St,Curtis St,Moore St,9,12:00:00.0000000,16:00:00.0000000,Even,0.1127,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
150,Charter St,Hanover St,Commercial St,1N,08:00:00.0000000,12:00:00.0000000,Odd,0.2591,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
151,Bentham Rd,Draper St,Mount Ida Rd,3,08:00:00.0000000,12:00:00.0000000,Even,0.0561,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
152,Border St,Central Sq,Dead End,9,08:00:00.0000000,12:00:00.0000000,Even,0.5587,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
153,Blossom Ct,Blossom St,Emerson Pl,1W,02:00:00.0000000,07:00:00.0000000,,0.0511,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
154,Callender St,Tucker St,Don St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.3741,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
155,Arbutus St,Blue Hill Ave,Irma St,7,08:00:00.0000000,12:00:00.0000000,Even,0.1438,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
156,Adams St,Bowdoin St,Leedsville St,3,08:00:00.0000000,12:00:00.0000000,Even,0.3045,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False
157,Castleton St,South Huntington Ave,Jamaicaway,2,12:00:00.0000000,16:00:00.0000000,Odd,0.1496,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
158,Annapolis St,Sumner St,Bakersfield St,3,12:00:00.0000000,16:00:00.0000000,Even,0.0650,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
159,Anson St,South St,Dead End,2,12:00:00.0000000,16:00:00.0000000,Even,0.0564,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
160,Cedar St,High St,Bartlett St,1C,12:00:00.0000000,16:00:00.0000000,Even,0.0852,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
161,Adams St,Eustis St,Forest St,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.1097,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
162,Claremont Park,Columbus Ave,Claremont St,1S,08:00:00.0000000,12:00:00.0000000,Odd,0.0970,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
163,Cambridge St,Alford St,Crescent St,1C,05:00:00.0000000,07:00:00.0000000,Odd,0.4205,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False
164,Chestnut Hill Ave,Commonwealth Ave,Brookline Town Line,4,12:00:00.0000000,16:00:00.0000000,Even,0.2331,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
165,Almont St,Blue Hill Ave,Walk Hill St,7,08:00:00.0000000,12:00:00.0000000,Even,0.5839,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
166,Adams St,Eustis St,Forest St,10R,08:00:00.0000000,12:00:00.0000000,Even,0.1097,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
167,Anderson St,Cambridge St,Myrtle St,1H,08:00:00.0000000,12:00:00.0000000,Even,0.1252,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
168,Clarkson St,Quincy St,Barry St,3,12:00:00.0000000,16:00:00.0000000,Even,0.2691,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
170,Brewer St,Burroughs St,Eliot St,2,12:00:00.0000000,16:00:00.0000000,Even,0.1146,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
171,Bowdoin St,Washington St,Quincy St,3,08:00:00.0000000,12:00:00.0000000,Even,0.7953,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
